timestamp,hobbs_start,hobbs_end,tach_start,tach_end,cycles,oil_pressure_min,oil_pressure_max,oil_temp_max,cht_max,egt_max,fuel_used_gal,route,pilot_notes
2024-07-12T13:00:00,4682.8,4684.0,4308.2,4309.3,1,68.0,80.0,211,381,1330,9.8,KPHX-KCHD,Fuel odor in cockpit on climbout — right fuel cap seal. Filed SQ-2024-FUELCAP.
2024-07-16T13:00:00,4684.5,4685.5,4309.7,4310.7,1,68.0,80.0,207,376,1322,8.2,KCHD-KPHX,New fuel cap installed — no fuel odor. SQ-2024-FUELCAP resolved.
2024-08-08T13:00:00,4685.5,4688.7,4310.7,4313.6,1,68.0,80.0,218,398,1352,26.2,KPHX-KPRC-KPHX,OAT 108°F on ground. Oil temp peaked 218°F on initial climb — within limits (245°F redline). Normal at cruise altitude. CHT 398°F on climb.
2024-08-24T13:00:00,4688.7,4690.2,4313.6,4315.0,1,68.0,80.0,213,387,1338,12.3,KPHX local,
2024-09-08T13:00:00,4690.2,4694.5,4315.0,4318.9,1,68.0,80.0,205,412,1360,35.3,KPHX-KFLG-KPHX,DA ~6200ft at KFLG. CHT peaked 412°F on climb. Excellent mountain visibility — ATIS reported 50sm vis.
2024-09-22T13:00:00,4694.5,4696.0,4318.9,4320.3,1,68.0,80.0,196,370,1315,12.3,KPHX local,
2024-10-08T13:00:00,4700.5,4706.3,4324.5,4329.8,1,68.0,80.0,198,394,1342,47.6,KPHX-KGCN-KPHX,Grand Canyon fall trip. DA ~5800ft at KGCN. Long flight — spectacular visibility. CHT normalized at 9500ft cruise.
2024-10-20T13:00:00,4706.3,4707.8,4329.8,4331.2,1,68.0,80.0,188,362,1305,12.3,KPHX local,
2024-11-04T13:00:00,4707.8,4711.0,4331.2,4334.1,1,68.0,80.0,183,360,1298,26.2,KPHX-KPRC-KPHX,
2024-11-18T13:00:00,4711.0,4713.5,4334.1,4336.4,1,68.0,80.0,180,355,1292,20.5,KPHX-KTUS-KPHX,
2024-12-05T13:00:00,4750.5,4753.8,4370.5,4373.5,1,68.0,80.0,175,348,1285,27.1,KPHX-KPRC-KPHX,
2024-12-19T13:00:00,4753.8,4755.2,4373.5,4374.8,1,68.0,80.0,172,345,1280,11.5,KPHX local,
2025-01-10T13:00:00,4755.2,4757.5,4374.8,4376.9,1,68.0,80.0,173,350,1287,18.9,KPHX-KCHD-KPHX,
2025-01-25T13:00:00,4757.5,4758.8,4376.9,4378.1,1,68.0,80.0,170,342,1278,10.7,KPHX local,
2025-06-08T13:00:00,4758.5,4762.8,4377.8,4381.8,1,68.0,80.0,209,410,1355,35.3,KPHX-KFLG-KPHX,"DA ~6800ft at KFLG — summer density altitude significant. Long ground roll on Rwy 21. CHT peaked 410°F climb, good at cruise."
2025-06-22T13:00:00,4762.8,4766.1,4381.8,4384.8,1,68.0,80.0,212,386,1338,27.1,KPHX-KPRC-KPHX,
2025-07-05T13:00:00,4766.1,4767.3,4384.8,4385.9,1,68.0,80.0,215,381,1330,9.8,KPHX local,
2025-07-19T13:00:00,4767.3,4773.1,4385.9,4391.3,1,68.0,80.0,211,396,1345,47.6,KPHX-KGCN-KPHX,Grand Canyon summer trip. OAT 102°F KPHX departure. Oil temp peaked 216°F initial climb — within limits. CHT 396°F climb at KGCN altitude. Spectacular monsoon cloud formations around the canyon.
2025-08-02T13:00:00,4773.1,4774.5,4391.3,4392.5,1,68.0,80.0,218,391,1342,11.5,KPHX-KSDL-KPHX,OAT 112°F on ground. Oil temp 218°F peak on climb — warm but within limits. No anomalies.
2025-08-17T13:00:00,4774.5,4775.8,4392.5,4393.7,1,68.0,80.0,214,385,1335,10.7,KPHX local,
2025-09-06T13:00:00,4775.8,4778.3,4393.7,4396.0,1,68.0,80.0,203,379,1328,20.5,KPHX-KTUS-KPHX,
2025-09-20T13:00:00,4778.3,4782.0,4396.0,4399.4,1,68.0,80.0,198,375,1322,30.3,KPHX-KSEZ-KPHX,
2025-10-02T13:00:00,4782.0,4785.2,4399.4,4402.4,1,68.0,80.0,189,365,1308,26.2,KPHX-KPRC-KPHX,
2025-10-19T13:00:00,4808.5,4810.0,4423.8,4425.2,1,68.0,80.0,183,355,1295,12.3,KPHX local,First flight after annual and oil change. All systems normal.
2025-10-26T13:00:00,4810.0,4813.2,4425.2,4428.1,1,68.0,80.0,187,363,1305,26.2,KPHX-KPRC-KPHX,
2025-10-31T13:00:00,4813.2,4814.8,4428.1,4429.6,1,68.0,80.0,182,358,1298,13.1,KPHX local,
2025-11-06T13:00:00,4814.8,4818.0,4429.6,4432.6,1,68.0,80.0,183,360,1300,26.2,KPHX-KPRC-KPHX,
2025-11-15T13:00:00,4818.0,4819.3,4432.6,4433.8,1,68.0,80.0,180,352,1290,10.7,KPHX local,
2025-11-22T13:00:00,4819.3,4821.5,4433.8,4435.8,1,68.0,80.0,178,349,1285,18.0,KPHX-KCHD-KPHX,
2025-12-06T13:00:00,4821.5,4825.8,4435.8,4439.7,1,68.0,80.0,175,370,1298,35.3,KPHX-KFLG-KPHX,Flagstaff winter flight — cool and smooth. DA ~5200ft.
2025-12-13T13:00:00,4825.8,4829.0,4439.7,4442.7,1,68.0,80.0,172,352,1285,26.2,KPHX-KPRC-KPHX,
2025-12-20T13:00:00,4858.5,4860.0,4469.8,4471.2,1,68.0,80.0,170,348,1280,12.3,KPHX-KSDL-KPHX,First flight after Dec 15 oil change.
2025-12-28T13:00:00,4860.0,4861.4,4471.2,4472.5,1,68.0,80.0,168,345,1278,11.5,KPHX local,
2026-01-12T13:00:00,4861.4,4864.7,4472.5,4475.5,1,68.0,80.0,172,355,1290,27.1,KPHX-KPRC-KPHX,
2026-01-25T13:00:00,4864.7,4867.2,4475.5,4477.8,1,68.0,80.0,174,359,1295,20.5,KPHX-KTUS-KPHX,
2026-02-08T13:00:00,4867.2,4871.5,4477.8,4481.8,1,68.0,80.0,179,374,1308,35.3,KPHX-KFLG-KPHX,Nice winter Flagstaff trip. DA ~5000ft. All normal.
2026-02-18T13:00:00,4871.5,4873.0,4481.8,4483.2,1,68.0,80.0,175,355,1292,12.3,KPHX local,
2026-02-27T13:00:00,4873.0,4876.2,4483.2,4486.1,1,68.0,80.0,177,361,1298,26.2,KPHX-KPRC-KPHX,
2026-03-10T13:00:00,4876.2,4882.5,4486.1,4491.9,1,68.0,80.0,182,378,1315,51.7,KPHX-KGCN-KPHX,Spring Grand Canyon trip. Perfect VFR day.
2026-03-22T13:00:00,4882.5,4889.5,4491.9,4498.3,1,68.0,80.0,186,381,1322,57.4,KPHX-KSEZ-KPHX,
